game,account capacity 1,account capacity 2,account capacity 3,game on customer account,game disk
ظرفیتی sonic frontiers ps4 و,190000,1676000,220000,0,0
ظرفیتی sonic mania ps4 و,220000,1480000,1164000,0,0
ظرفیتی sonic origins ps4 و,0,5048000,190000,0,0
ظرفیتی sonic racing crossworlds,0,4066000,2647000,0,0
ظرفیتی sonic superstars ps4 و,350000,6280000,390000,0,0
ظرفیتی sonic x shadow generations,0,2924000,5044000,0,0
ظرفیتی south park snow day,698000,3778000,698000,0,0
ظرفیتی split fiction,0,4840000,2829000,0,0
ظرفیتی spongebob squarepants the cosmic shake ps4 و,0,2000000,220000,0,0
ظرفیتی star wars outlaws,0,7433000,5642000,0,0
ظرفیتی stray ps4 و,0,3778000,150000,0,0
ظرفیتی suicide squad kill the justice league ps4 و,0,0,320000,0,0
ظرفیتی super mega baseball 4 ps4 و,698000,3650000,220000,0,0
ظرفیتی synduality echo of ada,498000,6149000,3170000,0,0
ظرفیتی tales of kenzera zau ps4 و,0,2825000,603000,0,0
ظرفیتی taxi life a city driving simulator ps4 و,0,4872000,4021000,0,0
ظرفیتی tchia ps4 و,150000,2420000,1718000,0,0
ظرفیتی team sonic racing ps4 و,220000,2580000,2580000,0,0
ظرفیتی teenage mutant ninja turtles shredder's revenge ps4 و,0,2544000,220000,0,0
ظرفیتی tekken 7 ps4 و,0,2091000,150000,0,0
ظرفیتی test drive unlimited solar crown,0,0,5910000,0,0
ظرفیتی the alters,450000,3978000,2644000,0,0
ظرفیتی the ascent ps4 و,0,3400000,150000,0,0
ظرفیتی the callisto protocol ps4 و,298000,1780000,220000,0,0
ظرفیتی the crew 2 ps4 و,198000,2980000,150000,0,0
ظرفیتی the crew motorfest ps4 و,0,2560000,250000,0,0
ظرفیتی the division 2 ps4 و,220000,3400000,250000,0,0
ظرفیتی the elder scrolls iv oblivion remastered,0,5089000,3978000,0,0
ظرفیتی the first berserker khazan,0,0,3800000,0,0
ظرفیتی the last of us part 1 i remake ps4 و,0,0,250000,0,0
ظرفیتی the last of us part ii remastered,0,0,290000,0,0
ظرفیتی the lord of the rings gollum ps4 و,220000,4876000,3824000,0,0
